registered,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Customer_Segment
1368,643,2,2942,1,5,2,152,1,Regular Customers
1454,699,2,3088,1,5,2,152,1,Regular Customers
1506,620,2,3368,1,5,2,152,3,Regular Customers
1518,726,2,3206,1,5,2,152,1,Regular Customers
1628,637,2,3667,1,5,2,152,3,Regular Customers
1730,662,2,3921,1,5,2,152,3,Regular Customers
674,626,2,1478,1,5,1,151,1,Regular Customers
4169,600,1,4864,1,4,3,143,3,Regular Customers
4238,587,1,4978,1,4,3,143,3,Regular Customers
3347,612,1,5312,1,3,4,134,3,Regular Customers
3547,591,1,5805,1,3,4,134,3,Regular Customers
3438,589,1,4274,1,3,3,133,3,Regular Customers
3444,621,1,4189,1,3,3,133,3,Regular Customers
3445,595,1,4123,1,3,3,133,3,Regular Customers
3554,610,1,4401,1,3,3,133,3,Regular Customers
3632,601,1,4182,1,3,3,133,3,Regular Customers
3698,603,1,4362,1,3,3,133,3,Regular Customers
3714,606,1,4608,1,3,3,133,3,Regular Customers
3717,613,1,4595,1,3,3,133,3,Regular Customers
3722,616,1,4400,1,3,3,133,3,Regular Customers
3808,585,1,4679,1,3,3,133,3,Regular Customers
3819,607,1,4433,1,3,3,133,3,Regular Customers
3833,588,1,4492,1,3,3,133,3,Regular Customers
3919,586,1,4677,1,3,3,133,3,Regular Customers
4008,592,1,4917,1,3,3,133,3,Regular Customers
3489,614,1,4058,1,3,2,132,3,Regular Customers
2433,583,1,4788,1,2,3,123,3,Regular Customers
2481,618,1,4191,1,2,3,123,3,Regular Customers
2757,584,1,4758,1,2,3,123,3,Regular Customers
2932,604,1,4333,1,2,3,123,3,Regular Customers
2971,597,1,4553,1,2,3,123,3,Regular Customers
3084,590,1,4660,1,2,3,123,3,Regular Customers
3102,605,1,4714,1,2,3,123,3,Regular Customers
2320,656,1,2744,1,2,2,122,1,Regular Customers
2348,683,1,2927,1,2,2,122,1,Regular Customers
2355,655,1,3239,1,2,2,122,1,Regular Customers
2381,638,1,3115,1,2,2,122,1,Regular Customers
2395,636,1,2808,1,2,2,122,1,Regular Customers
